entry,phonemes,mappings
huamuxtitlán,"['w', 'a', 'm', 'u', 'k', 's', 't', 'i', 't', 'l', 'A', 'n']","[('h', 'w'), ('u', 'a'), ('a', 'm'), ('m', 'u'), ('u', 'k'), ('x', 's'), ('t', 't'), ('i', 'i'), ('t', 't'), ('l', 'l'), ('á', 'A'), ('n', 'n')]"
hueypoxtla,"['w', 'e', 'j', 'p', 'O', 'k', 's', 't', 'l', 'a']","[('h', 'w'), ('u', 'e'), ('e', 'j'), ('y', 'p'), ('p', 'O'), ('o', 'k'), ('x', 's'), ('t', 't'), ('l', 'l'), ('a', 'a')]"
huixcolotla,"['w', 'i', 'k', 's', 'k', 'o', 'l', 'O', 't', 'l', 'a']","[('h', 'w'), ('u', 'i'), ('i', 'k'), ('x', 's'), ('c', 'k'), ('o', 'o'), ('l', 'l'), ('o', 'O'), ('t', 't'), ('l', 'l'), ('a', 'a')]"
huixtla,"['W', 'I', 'k', 's', 't', 'l', 'a']","[('h', 'W'), ('u', 'I'), ('i', 'k'), ('x', 's'), ('t', 't'), ('l', 'l'), ('a', 'a')]"
infrigidacińo,"['i', 'n', 'f', 'r', 'i', 'x', 'i', 'D', 'a', 'T', 'J', 'O', 'n']","[('i', 'i'), ('n', 'n'), ('f', 'f'), ('r', 'r'), ('i', 'i'), ('g', 'x'), ('i', 'i'), ('d', 'D'), ('a', 'a'), ('c', 'T'), ('i', 'J'), ('ń', 'O'), ('o', 'n')]"
irreflexión,"['i', 'R', 'e', 'f', 'l', 'e', 'k', 's', 'J', 'O', 'n']","[('i', 'i'), ('r', 'R'), ('r', 'e'), ('e', 'f'), ('f', 'l'), ('l', 'e'), ('e', 'k'), ('x', 's'), ('i', 'J'), ('ó', 'O'), ('n', 'n')]"
ixmatlahuacan,"['i', 'k', 's', 'm', 'a', 't', 'l', 'a', 'W', 'A', 'k', 'a', 'n']","[('i', 'i'), ('x', 'k'), ('m', 's'), ('a', 'm'), ('t', 'a'), ('l', 't'), ('a', 'l'), ('h', 'a'), ('u', 'W'), ('a', 'A'), ('c', 'k'), ('a', 'a'), ('n', 'n')]"
ixmiquilpan,"['i', 'k', 's', 'm', 'i', 'k', 'I', 'l', 'p', 'a', 'n']","[('i', 'i'), ('x', 'k'), ('m', 's'), ('i', 'm'), ('q', 'i'), ('u', 'k'), ('i', 'I'), ('l', 'l'), ('p', 'p'), ('a', 'a'), ('n', 'n')]"
ixtaczoquitlán,"['i', 'k', 's', 't', 'a', 'T', 's', 'o', 'k', 'i', 't', 'l', 'A', 'n']","[('i', 'i'), ('x', 'k'), ('t', 's'), ('a', 't'), ('c', 'a'), ('z', 'T'), ('o', 's'), ('q', 'o'), ('u', 'k'), ('i', 'i'), ('t', 't'), ('l', 'l'), ('á', 'A'), ('n', 'n')]"
loxicha,"['l', 'o', 'k', 's', 'I', 'C', 'a']","[('l', 'l'), ('o', 'o'), ('x', 'k'), ('i', 's'), ('c', 'I'), ('h', 'C'), ('a', 'a')]"
maxwell,"['m', 'a', 'k', 's', 'w', 'E', 'Y']","[('m', 'm'), ('a', 'a'), ('x', 'k'), ('w', 's'), ('e', 'w'), ('l', 'E'), ('l', 'Y')]"
mixtifique,"['m', 'i', 'k', 's', 't', 'i', 'f', 'I', 'k', 'e']","[('m', 'm'), ('i', 'i'), ('x', 'k'), ('t', 's'), ('i', 't'), ('f', 'i'), ('i', 'f'), ('q', 'I'), ('u', 'k'), ('e', 'e')]"
nuxaá,"['n', 'u', 'k', 's', 'A']","[('n', 'n'), ('u', 'u'), ('x', 'k'), ('a', 's'), ('á', 'A')]"
oaxaqueño,"['o', 'a', 'k', 's', 'a', 'k', 'E', 'N', 'o']","[('o', 'o'), ('a', 'a'), ('x', 'k'), ('a', 's'), ('q', 'a'), ('u', 'k'), ('e', 'E'), ('ñ', 'N'), ('o', 'o')]"
phoenix,"['p', 'o', 'E', 'n', 'i', 'k', 's']","[('p', 'p'), ('h', 'o'), ('o', 'E'), ('e', 'n'), ('n', 'i'), ('i', 'k'), ('x', 's')]"
quimixtlán,"['k', 'i', 'm', 'i', 'k', 's', 't', 'l', 'A', 'n']","[('q', 'k'), ('u', 'i'), ('i', 'm'), ('m', 'i'), ('i', 'k'), ('x', 's'), ('t', 't'), ('l', 'l'), ('á', 'A'), ('n', 'n')]"
quiropraxia,"['k', 'i', 'r', 'o', 'p', 'r', 'A', 'k', 's', 'j', 'a']","[('q', 'k'), ('u', 'i'), ('i', 'r'), ('r', 'o'), ('o', 'p'), ('p', 'r'), ('r', 'A'), ('a', 'k'), ('x', 's'), ('i', 'j'), ('a', 'a')]"
rawsense,"['r', 'a', 'u', 's', 'E', 'n', 's', 'e']","[('r', 'r'), ('a', 'a'), ('w', 'u'), ('s', 's'), ('e', 'E'), ('n', 'n'), ('s', 's'), ('e', 'e')]"
rawson,"['r', 'A', 'W', 's', 'o', 'n']","[('r', 'r'), ('a', 'A'), ('w', 'W'), ('s', 's'), ('o', 'o'), ('n', 'n')]"
